,Sales,Profit,sales_seasonality,forecast
2014-01-01,6242.525000000001,805.4664999999999,,
2014-02-01,1839.6580000000001,120.69169999999998,,
2014-03-01,14573.955999999996,-1128.655,,
2014-04-01,7944.8369999999995,554.3801,,
2014-05-01,6912.787,-349.8776,,
2014-06-01,13206.125599999998,596.3152999999999,,
2014-07-01,10821.051,374.24670000000003,,
2014-08-01,7320.3465,663.4717,,
2014-09-01,23816.480799999994,1858.5976000000003,,
2014-10-01,12304.247,249.16450000000017,,
2014-11-01,21564.87270000001,-297.8957999999997,,
2014-12-01,30645.96650000001,2011.8198000000002,,
2015-01-01,11739.9416,-3014.2,5497.4166,
2015-02-01,3134.3740000000003,394.8948,1294.7160000000001,
2015-03-01,12499.783000000001,1455.0573,-2074.172999999995,
2015-04-01,10475.698499999995,338.6501999999999,2530.8614999999954,
2015-05-01,9374.9505,900.5847000000003,2462.1635000000006,
2015-06-01,7714.179,-412.6596999999999,-5491.9465999999975,
2015-07-01,13674.419999999998,-325.0937999999998,2853.368999999999,
2015-08-01,9638.592199999997,-487.4709,2318.2456999999977,
2015-09-01,26273.02299999999,1350.1185000000003,2456.5421999999962,
2015-10-01,12026.6235,-605.5163000000001,-277.6234999999997,
2015-11-01,30880.832499999986,2992.024000000001,9315.959799999975,
2015-12-01,23085.819199999994,428.8141000000001,-7560.147300000015,
2016-01-01,7622.742999999999,303.96069999999975,-4117.1986000000015,
2016-02-01,3925.5510000000004,377.03520000000003,791.1770000000001,
2016-03-01,12801.092,-555.268,301.3089999999993,
2016-04-01,13212.089999999998,364.8334000000001,2736.3915000000034,
2016-05-01,15119.835000000003,1824.4739000000004,5744.884500000002,
2016-06-01,13070.572,-106.26649999999997,5356.393,
2016-07-01,13068.519,1038.9072999999996,-605.900999999998,
2016-08-01,12483.2323,-494.1456999999999,2844.6401000000023,
2016-09-01,27262.880899999993,702.6025,989.8579000000027,
2016-10-01,11872.576999999997,-144.65999999999997,-154.0465000000022,
2016-11-01,31783.628799999988,819.8088000000002,902.7963000000018,
2016-12-01,36678.71499999999,2828.6715,13592.895799999995,
2017-01-01,5964.032,-39.44019999999995,-1658.7109999999984,
2017-02-01,6866.3374,-199.0421,2940.7864,
2017-03-01,10893.444800000001,1000.8532000000004,-1907.6471999999994,
2017-04-01,9065.958099999998,202.46240000000006,-4146.1319,
2017-05-01,16957.5582,-72.88290000000023,1837.7231999999967,
2017-06-01,19008.586699999993,904.9955999999999,5938.014699999992,
2017-07-01,11813.021999999999,324.62440000000004,-1255.4970000000012,
2017-08-01,15441.873999999996,322.2389999999999,2958.6416999999965,
2017-09-01,29028.206000000002,1548.6836999999996,1765.3251000000091,
2017-10-01,21884.068199999994,-2526.920299999999,10011.491199999997,
2017-11-01,37056.715000000004,406.06369999999987,5273.086200000016,
2017-12-01,31407.46679999999,1146.7548,-5271.248199999998,
2018-01-01,,,,7534.7136232765815
2018-02-01,,,,8437.011303075848
2018-03-01,,,,12464.11098291306
2018-04-01,,,,10636.616562788215
2018-05-01,,,,18528.20894270132
2018-06-01,,,,20579.229722652362
2018-07-01,,,,13383.657302641364
2018-08-01,,,,17012.501582668305
2018-09-01,,,,30598.825862733196
2018-10-01,,,,23454.680342836018
2018-11-01,,,,38627.319422976805
2018-12-01,,,,32978.06350315551
2019-01-01,,,,9105.302606648767
2019-02-01,,,,10007.592566702642
2019-03-01,,,,14034.684526832407
2019-04-01,,,,12207.182387038058
2019-05-01,,,,20098.767047319605
2019-06-01,,,,22149.78010767703
2019-07-01,,,,14954.199968110359
2019-08-01,,,,18583.03652861957
2019-09-01,,,,32169.353089204673
2019-10-01,,,,25025.199849865654
2019-11-01,,,,40197.83121060254
2019-12-01,,,,34548.56757141528
2020-01-01,,,,10675.798955580523
2020-02-01,,,,11578.081196344323
2020-03-01,,,,15605.165437221955
2020-04-01,,,,13777.655578213415
2020-05-01,,,,21669.23251931871
2020-06-01,,,,23720.237860537825
2020-07-01,,,,16524.65000187079
2020-08-01,,,,20153.47884331757
2020-09-01,,,,33739.78768487819
2020-10-01,,,,26595.626726552622
2020-11-01,,,,41768.2503683409
2020-12-01,,,,36118.97901024298
2021-01-01,,,,12246.202675535495
2021-02-01,,,,13148.477197464508
2021-03-01,,,,17175.553719545293
2021-04-01,,,,15348.036141777848
2021-05-01,,,,23239.605364162173
2021-06-01,,,,25290.60298669826
2021-07-01,,,,18095.007409386133
2021-08-01,,,,21723.828532225765
2021-09-01,,,,35310.12965521717
2021-10-01,,,,28165.96097836033
2021-11-01,,,,43338.57690165527
2021-12-01,,,,37689.29782510195
2022-01-01,,,,13816.513771977005
2022-02-01,,,,
2022-03-01,,,,
2022-04-01,,,,
2022-05-01,,,,
2022-06-01,,,,
2022-07-01,,,,
2022-08-01,,,,
2022-09-01,,,,
2022-10-01,,,,
2022-11-01,,,,
2022-12-01,,,,
